Source,Date,Mean
GCAG,1947-04,0.0143
GCAG,1947-03,-0.0079
GCAG,1947-02,-0.0774
GCAG,1947-01,-0.1816
GCAG,1946-12,-0.2636
GCAG,1946-11,-0.0119
GCAG,1946-10,-0.0057
GCAG,1946-09,-0.0164
GCAG,1946-08,-0.0697
GCAG,1946-07,-0.0367
GCAG,1946-06,-0.1016
GCAG,1946-05,-0.0298
GCAG,1946-04,0.1768
GCAG,1946-03,0.0005
GCAG,1946-02,0.0888
GCAG,1946-01,0.2209
GCAG,1945-12,-0.0475
GCAG,1945-11,0.1955
GCAG,1945-10,0.2569
GCAG,1945-09,0.2578
GCAG,1945-08,0.3546
GCAG,1945-07,0.1652
GCAG,1945-06,0.1413
GCAG,1945-05,0.1761
GCAG,1945-04,0.2764
GCAG,1945-03,0.1072
GCAG,1945-02,0.0149
GCAG,1945-01,0.1535
GCAG,1944-12,0.0951
GCAG,1944-11,0.1518
GCAG,1944-10,0.323
GCAG,1944-09,0.3855
GCAG,1944-08,0.2804
GCAG,1944-07,0.3145
GCAG,1944-06,0.3348
GCAG,1944-05,0.2618
GCAG,1944-04,0.2718
GCAG,1944-03,0.3676
GCAG,1944-02,0.3032
GCAG,1944-01,0.4241
GCAG,1943-12,0.3539
GCAG,1943-11,0.2459
GCAG,1943-10,0.3095
GCAG,1943-09,0.1425
GCAG,1943-08,0.0992
GCAG,1943-07,0.183
GCAG,1943-06,0.0245
GCAG,1943-05,0.1326
GCAG,1943-04,0.1726
GCAG,1943-03,0.0762
GCAG,1943-02,0.1683
GCAG,1943-01,-0.0241
GCAG,1942-12,0.1515
GCAG,1942-11,0.167
GCAG,1942-10,0.1495
GCAG,1942-09,0.1179
GCAG,1942-08,0.044
GCAG,1942-07,0.0768
GCAG,1942-06,0.2098
GCAG,1942-05,0.1665
GCAG,1942-04,0.19
GCAG,1942-03,0.1771
GCAG,1942-02,0.0971
GCAG,1942-01,0.2983
GCAG,1941-12,0.2108
GCAG,1941-11,0.2212
GCAG,1941-10,0.313
GCAG,1941-09,0.0881
GCAG,1941-08,0.1736
GCAG,1941-07,0.2069
GCAG,1941-06,0.1614
GCAG,1941-05,0.2446
GCAG,1941-04,0.2229
GCAG,1941-03,0.1023
GCAG,1941-02,0.227
GCAG,1941-01,0.1802
GCAG,1940-12,0.2683
GCAG,1940-11,0.1004
GCAG,1940-10,0.0993
GCAG,1940-09,0.1483
GCAG,1940-08,0.0902
GCAG,1940-07,0.1459
GCAG,1940-06,0.1039
GCAG,1940-05,0.0556
GCAG,1940-04,0.1286
GCAG,1940-03,0.0671
GCAG,1940-02,0.0514
